time,x,y,sst
0,0.021364003,0.1197,291.53366
0,0.030324012,0.1197,290.01984
0,0.030884013,0.1197,291.05756
0,0.031444013,0.1197,291.27484
0,0.032004014,0.1197,290.48865
0,0.032564014,0.1197,289.87335
0,0.033124015,0.1197,290.40808
0,0.056644008,0.1197,286.2573
0,0.057204008,0.1197,286.5918
0,0.05776401,0.1197,286.12546
0,0.05832401,0.1197,285.852
0,0.05888401,0.1197,285.95453
0,0.05944401,0.1197,286.04242
0,0.032564014,0.11914,290.50818
0,0.033124015,0.11914,290.24448
0,0.033684,0.11914,289.8294
0,0.040964007,0.11914,287.27545
0,0.05776401,0.11914,286.6455
0,0.05832401,0.11914,286.3745
0,0.05888401,0.11914,286.0302
0,0.05944401,0.11914,286.72363
0,0.039284006,0.11858,287.483
0,0.039844006,0.11858,287.58066
0,0.046004012,0.11858,285.2782
0,0.05776401,0.11858,287.71497
0,0.05888401,0.11858,287.71008
0,0.039844006,0.11802,287.01175
0,0.040404007,0.11802,287.0899
0,0.040964007,0.11802,287.21198
0,0.04264401,0.11802,287.09967
0,0.05832401,0.11802,289.64383
0,0.05888401,0.11802,291.06488
0,0.05944401,0.11802,290.67664
0,0.017444015,0.11746,288.38885
0,0.018004,0.11746,289.2483
0,-0.0032759905,0.1169,298.0235
0,0.014084011,0.1169,289.96857
0,0.014644012,0.1169,289.64383
0,0.015204012,0.1169,288.71356
0,0.038164005,0.1169,289.4949
0,0.04208401,0.1169,287.34625
0,0.05944401,0.1169,292.48834
0,-0.004955992,0.11634,297.49124
0,-0.0043959916,0.11634,296.6635
0,-0.003835991,0.11634,297.5181
0,-0.0032759905,0.11634,297.35938
0,-0.00271599,0.11634,298.48743
0,0.011844009,0.11634,294.51733
0,0.01240401,0.11634,293.255
0,0.01296401,0.11634,291.25043
0,0.013524011,0.11634,291.16498
0,0.014084011,0.11634,290.6986
0,0.02752401,0.11634,292.82773
0,0.02808401,0.11634,292.95224
0,0.02864401,0.11634,292.7789
0,0.029204011,0.11634,292.80576
0,0.030324012,0.11634,290.61072
0,0.030884013,0.11634,290.00275
0,0.052724004,0.11634,287.71497
0,-0.004955992,0.115779996,297.45706
0,-0.0043959916,0.115779996,297.93073
0,-0.003835991,0.115779996,298.26523
0,0.011844009,0.115779996,296.6855
0,0.01240401,0.115779996,295.95056
0,0.01296401,0.115779996,293.38928
0,0.013524011,0.115779996,293.27698
0,0.014084011,0.115779996,292.74957
0,0.014644012,0.115779996,293.24524
0,0.015204012,0.115779996,293.40637
0,0.015764013,0.115779996,292.84238
0,0.016324013,0.115779996,292.3565
0,0.029764012,0.115779996,291.9121
0,0.030324012,0.115779996,291.9048
0,0.030884013,0.115779996,291.06488
0,0.04264401,0.115779996,289.63895
0,0.04320401,0.115779996,289.62186
0,0.051604003,0.115779996,289.89044
0,0.009604007,0.115219995,296.51703
0,0.010164008,0.115219995,297.27393
0,0.010724008,0.115219995,297.56448
0,0.011844009,0.115219995,297.16162
0,0.013524011,0.115219995,294.04852
0,0.014084011,0.115219995,294.78592
0,0.014644012,0.115219995,294.34885
0,0.015204012,0.115219995,293.0255
0,0.015764013,0.115219995,292.66412
0,0.016324013,0.115219995,292.40045
0,0.016884014,0.115219995,292.17337
0,0.017444015,0.115219995,291.09174
0,0.024724007,0.115219995,292.16605
0,0.030884013,0.115219995,291.3725
0,0.031444013,0.115219995,291.95605
0,0.04544401,0.115219995,290.4276
0,0.046004012,0.115219995,290.88174
0,0.050484,0.115219995,290.92325
0,0.051044002,0.115219995,290.4447
0,0.054964006,0.115219995,286.93362
0,0.055524006,0.115219995,286.32077
0,0.009604007,0.114659995,297.5767
0,0.010164008,0.114659995,296.91745
0,0.010724008,0.114659995,296.81247
0,0.011284009,0.114659995,297.23242
0,0.011844009,0.114659995,297.04688
0,0.014084011,0.114659995,294.2048
0,0.014644012,0.114659995,294.04364
